0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0.0,4.565,6.668,3.392,2.743,2.805,5.007,7.417,6.304,4.685,4.55,8.585,4.573,5.934,6.531,2.027,4.924,0.504,8.088,2.384,0.69,8.172,8.335,5.047,7.111,2.786,5.422,8.54,2.721,4.488
4.693,0.0,3.324,1.56,6.875,5.836,1.048,7.859,4.626,6.115,5.691,5.361,2.37,1.828,3.187,3.103,0.965,5.197,5.509,6.84,4.178,6.494,4.991,3.873,3.83,6.501,4.551,6.082,6.573,2.285
6.776,3.332,0.0,3.761,9.005,7.919,2.359,8.451,5.218,6.881,7.774,3.744,2.962,2.6,0.694,5.233,2.472,7.28,5.681,8.97,6.261,7.086,2.498,4.465,2.118,8.584,5.284,6.254,8.656,2.877
3.373,1.613,3.827,0.0,5.372,4.691,2.124,6.626,3.392,4.6,4.546,5.738,1.51,3.051,3.69,1.599,2.041,3.715,5.242,5.336,3.033,5.261,5.494,2.579,4.265,5.356,3.003,5.351,5.428,1.557
2.73,6.972,9.096,5.443,0.0,4.749,7.447,8.18,7.979,5.448,6.229,11.005,6.75,8.374,8.959,4.077,7.364,2.226,10.509,0.704,3.42,9.345,10.763,7.098,9.532,4.466,6.374,10.591,3.49,6.824
2.805,5.8,7.902,4.812,4.798,0.0,6.241,9.472,8.155,6.741,2.96,9.819,5.808,7.169,7.765,4.538,6.159,2.695,9.323,4.158,2.45,10.024,9.569,6.955,8.346,1.197,7.33,9.895,1.742,5.723
5.107,1.048,2.367,2.071,7.386,6.251,0.0,7.733,4.5,6.022,6.105,4.744,2.244,1.116,2.23,3.614,0.113,5.611,5.383,7.351,4.592,6.368,4.034,3.747,3.213,6.915,4.425,5.955,6.987,2.159
7.438,7.85,8.435,6.66,7.869,9.457,7.724,0.0,3.224,3.622,10.935,7.714,5.658,8.652,8.297,7.224,7.642,6.934,5.108,7.833,8.128,2.036,9.664,4.481,6.874,9.174,4.189,3.91,8.794,5.743
6.233,4.626,5.21,3.435,7.669,7.888,4.5,3.233,0.0,2.965,7.743,4.728,2.433,5.427,5.073,4.459,4.417,6.575,4.106,7.633,6.23,1.868,6.44,1.257,3.649,8.553,1.894,3.535,8.594,2.519
4.706,6.129,6.875,4.601,5.137,6.725,6.013,3.62,2.963,0.0,8.205,7.399,4.15,6.94,6.738,4.492,5.93,4.202,6.777,5.102,5.397,3.94,8.542,2.909,6.133,6.442,1.629,5.747,6.063,4.236
4.547,5.52,7.623,4.532,6.29,2.963,5.962,10.964,7.876,8.233,0.0,9.539,5.528,6.889,7.486,5.313,5.879,4.187,9.043,5.65,4.192,9.744,9.29,6.896,8.066,1.872,7.272,9.615,3.218,5.443
8.685,5.361,3.751,5.67,10.914,9.828,4.744,7.75,4.728,7.351,9.682,0.0,4.475,5.724,3.298,7.141,4.632,9.188,3.372,10.878,8.17,5.844,4.389,5.008,1.855,10.492,5.99,3.944,10.565,4.55
4.481,2.428,3.012,1.466,6.639,5.625,2.302,5.733,2.499,4.224,5.479,4.267,0.0,3.229,2.875,2.867,2.219,4.983,3.771,6.604,3.966,4.368,4.679,1.746,2.794,6.289,2.605,4.343,6.361,0.086
6.034,1.828,2.6,2.998,8.314,7.178,1.116,8.66,5.427,6.949,7.032,5.724,3.171,0.0,2.995,4.541,1.132,6.538,6.31,8.278,5.519,7.295,4.366,4.674,4.192,7.842,5.352,6.883,7.914,3.086
6.631,3.187,0.702,3.616,8.86,7.774,2.23,8.306,5.073,6.736,7.629,3.298,2.817,2.995,0.0,5.088,2.343,7.135,5.236,8.824,6.116,6.883,2.053,4.32,1.773,8.439,5.139,5.808,8.511,2.732
1.986,3.106,5.23,1.578,3.984,4.498,3.582,7.206,4.489,4.474,5.127,7.14,2.885,4.509,5.093,0.0,3.499,2.328,6.644,3.949,2.048,6.357,6.897,3.232,5.667,4.479,3.608,6.725,4.443,2.959
5.024,0.965,2.48,1.988,7.303,6.168,0.113,7.65,4.417,5.939,6.022,4.632,2.161,1.132,2.343,3.531,0.0,5.528,5.3,7.268,4.509,6.285,4.147,3.664,3.1,6.832,4.342,5.873,6.904,2.076
0.504,5.069,7.172,3.701,2.239,2.709,5.511,6.913,6.612,4.181,4.19,9.089,5.007,6.438,7.035,2.335,5.428,0.0,8.592,1.88,1.194,8.078,8.839,5.355,7.615,2.426,5.107,8.848,2.217,4.992
8.198,5.518,5.698,5.183,10.427,9.341,5.392,5.142,4.116,6.739,9.195,3.381,3.988,6.319,5.245,6.654,5.309,8.702,0.0,10.391,7.683,3.236,6.592,4.416,3.801,10.005,5.458,1.336,10.078,4.063
2.392,6.936,9.06,5.408,0.704,4.11,7.399,8.144,7.944,5.412,5.591,10.97,6.714,8.326,8.923,4.042,7.316,1.888,10.473,0.0,3.082,9.309,10.727,7.062,9.497,3.827,6.339,10.555,2.786,6.788
0.69,4.05,6.153,3.063,3.433,2.45,4.492,8.107,6.291,5.375,4.195,8.07,4.058,5.419,6.016,2.088,4.409,1.194,7.573,3.074,0.0,8.159,7.82,5.034,6.596,2.431,5.41,8.146,2.395,3.973
8.087,6.48,7.064,5.289,9.136,9.742,6.354,2.293,1.854,4.043,9.596,5.821,4.287,7.281,6.878,6.313,6.271,8.201,3.215,9.1,8.084,0.0,8.225,3.11,5.434,10.406,3.56,2.018,10.062,4.373
8.449,5.005,2.52,5.434,10.678,9.593,4.049,9.687,6.454,8.555,9.447,4.403,4.635,4.382,2.067,6.906,4.161,8.953,6.597,10.643,7.934,8.244,0.0,6.123,3.134,10.257,6.957,7.169,10.329,4.55
4.977,3.877,4.461,2.621,6.975,6.826,3.751,4.49,1.257,2.917,6.68,5.004,1.684,4.678,4.324,3.202,3.668,5.318,4.383,6.939,4.986,3.125,6.108,0.0,3.54,7.418,1.298,3.839,7.382,1.77
7.211,3.83,2.11,4.196,9.441,8.355,3.213,6.882,3.649,6.141,8.209,1.855,3.001,4.185,1.773,5.668,3.1,7.715,3.792,9.405,6.696,5.439,3.12,3.54,0.0,9.019,4.522,4.365,9.092,3.076
2.784,6.467,8.569,5.479,4.527,1.2,6.908,9.201,8.72,6.469,1.872,10.486,6.475,7.835,8.432,4.516,6.825,2.424,9.989,3.887,2.429,10.366,10.236,7.463,9.013,0.0,7.396,10.562,1.454,6.389
5.369,4.559,5.295,3.031,6.077,7.218,4.433,4.203,1.896,1.644,7.072,5.973,2.521,5.36,5.158,3.594,4.35,5.143,5.432,6.042,5.378,3.574,6.962,1.281,4.505,7.382,0.0,5.108,7.003,2.607
8.393,6.259,6.439,5.289,10.391,9.743,6.133,3.806,3.431,5.66,9.597,4.122,4.287,7.06,5.986,6.619,6.05,8.735,1.516,10.356,8.084,1.899,7.333,3.735,4.542,10.407,5.002,0.0,10.479,4.373
2.644,6.448,8.55,5.46,3.526,1.74,6.889,8.797,8.596,6.065,3.213,10.467,6.456,7.817,8.413,4.475,6.807,2.14,9.971,2.822,2.397,9.962,10.217,7.432,8.994,1.45,6.991,10.543,0.0,6.37
4.567,2.342,2.926,1.552,6.725,5.711,2.216,5.666,2.433,4.157,5.565,4.181,0.086,3.143,2.789,2.953,2.133,5.069,3.685,6.689,4.052,4.301,4.593,1.68,2.708,6.375,2.538,4.258,6.447,0.0
